Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Left-VentralDC,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
0,5.425,0,0.3875,0.0625,0.125,0,0,194.26,1193,0.1875,0.05,0.075,0.0125,0.05,0,0,89.625,0,0,0,0.125,0.425,10.925,0.2,0.9625,0.0125,1.1875,0.0125,6.8375,0.0125,0.0375,0.4,0,0,0,0,0.1875,0.0125,0,0,0.225,0,0,0,0.3375,0.0375,0,0,0.0125,0,0.0125,0,0,0,0.0125,0.475,0,0.0375,0,0.025,0.05,0,0,0,0,0.175,0,0,0,0,0,0.025,0,0.0125,0.125,0,0,0,0.125,0,0.0125,0,0,0,0
5.425,0,421.18,231.38,101.35,120.3,0.6875,3.5625,765.59,0.5875,6.35,1.125,1.45,0.5,0.525,0,0.1,1.8375,2.4875,2.7125,15.963,16.9,0.375,10.05,57.938,15.037,20.413,52.875,21.075,13.412,3.1,24.875,3.9875,20.85,27,21.637,83.138,23.988,231.7,7.05,166.4,66.1,1.3,47.825,277.3,115.56,41.775,54.763,1.75,2.975,4.8125,15.787,0.8,1.6875,3.55,0.35,0.0125,0.5,6.1125,2.9875,2.9375,0.8625,0.1,0.3125,0.1625,3.85,0.05,3.1625,1.1,0.175,0.7625,0.375,4.0375,1.575,6.7125,9.8625,0.6125,7.425,12.787,9.6875,4.0125,8.0375,0.1125,0.0125,0.3,0.6625
0,421.18,0,228.59,69.825,3.0625,0.0375,51.763,47.75,0,0.8125,11.125,1.8125,0.6375,0.025,0,5.75,0.225,0.5625,3.6625,27.025,0.075,0.0125,0.425,2.2,1.7,3.45,0.6625,73.05,0.4125,60.462,3.625,0.3625,7.6375,33.688,69.188,69.737,0.2125,34.725,4.975,93.075,13.175,7.525,145.94,229.65,5.3875,6.7625,24.087,22.312,0.1125,1.675,8.6,0.0125,2.9875,3.45,0,0,0,0.2625,0.1375,0.675,0.0625,2.2,0.0125,27.038,0.2,0.0125,2.4625,1.4375,1.25,1.05,0,2.75,1.7875,5.4375,1.775,4.625,14.3,25.5,0.8,0.7375,1.4875,2.3875,0,0.0625,0.9375
0.3875,231.38,228.59,0,268.59,18.025,55.487,64.275,172.78,0.0625,1.225,2.0625,2.125,1.575,0.325,0.075,0.85,0.675,6.025,5.3,24.488,21.525,0.725,33.062,191.81,42.337,15.363,170.93,136.96,101.83,89.25,89.875,2.7375,12.137,57.95,47.837,145.75,49.888,265.71,8.3125,205.11,53.9,6.3875,147.34,341.14,204.05,146.04,126.76,17.212,26.575,23.075,837.64,0.7125,1.25,4.7875,0.175,0.0125,0.3375,6.4625,2.5,2.5625,1.0375,0.1,0.1,1.1875,3,0.0125,2.8375,1.45,0.55,1.0875,0.25,3.7375,1.3,11.2,7.675,0.9125,11.363,13.688,7.9625,3.35,5.025,0.3625,0.075,0.1875,0.5125
0.0625,101.35,69.825,268.59,0,3.575,21.275,6.8,303.46,0.025,0.25,1.1625,2.6375,12.725,0.4375,0.5,1.8625,1.825,0.2125,0.0375,0.8875,3.2125,0.05,3.25,10.25,6.325,2.8375,8.7625,0.55,3.9625,5.8125,2.4625,0.475,2.4625,0.65,0.35,1,3.3625,49.862,0.55,34.087,8.65,0.0125,1.5875,13.5,23.675,4.2375,7.1,0.125,2.8125,0.2,1.75,0.3125,0.0375,0.1625,0.0375,0,0.15,1.2375,0.5625,0.65,0.1,0.2875,0.1125,0.1375,0.45,0.025,0.65,0.0375,0,0.05,0.0625,0.675,0.2,0.8,1.825,0.0125,0.2625,0.5375,1.7625,0.7625,1.575,0,0.0125,0.05,0.7
0.125,120.3,3.0625,18.025,3.575,0,44.663,0.25,73.862,0.05,1.2,0.025,0.35,0.25,1.4875,0.075,0.075,0.25,0.25,1.05,0.175,8.2125,129.85,175.47,11.65,60,38.95,19.238,0.1875,62.112,4.525,13.775,193.39,0.0375,0.1,0.0125,0.05,17.625,0.2375,1.025,0.025,21.113,0.75,0.8375,3.95,15.525,9.975,5.3,0.2125,30.2,0.0875,5.975,0.025,0,0.1,1.5375,0.025,0.525,1.2875,0.2,1.3625,1.225,0.025,1.2375,0.1125,0.175,0.125,0.0375,0.0125,0,0,1.0375,0.1875,0.05,0.1,3.4625,0.0375,0.0625,0.1125,3.6125,0.45,0.375,0,0,0.0125,0.225
0,0.6875,0.0375,55.487,21.275,44.663,0,0.2,42.038,0,0,0,0.1875,0.2125,0,0,0.025,0.1,0,0,0.0375,0.15,36.05,22.325,0.0875,6.8,0.15,0.425,0.075,2.275,9.15,1.4375,3.6625,0.0125,0,0,0.0125,0.575,0,0.0125,0,0.225,0.025,0.075,0.025,0.2,5.6125,0.0375,0.0375,67.638,0,13.812,0,0,0,0,0,0.0125,0,0.025,0.025,0.0125,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0.0375,0,0,0,0.0375,0,0.0125,0,0,0,0.0125
0,3.5625,51.763,64.275,6.8,0.25,0.2,0,15.55,0,0.1375,6.8375,1.6,1.1375,0.025,0.0125,12.025,0.4875,0.0125,12.738,0.0125,0.05,0,0.05,0.0125,0.2125,1.3125,0.075,17.337,0.2875,69.2,0.0875,0.0875,0.1875,0.0125,0.0875,0.0125,0.15,0.025,5.1625,0.05,5.45,43.65,0.5125,4.1125,0.3,0.05,0.025,0.475,0.05,0,9.2125,0,1.25,0.0375,0,0,0.0125,0.025,0.0125,0.25,0.0125,1.3625,0.05,7.875,0,0.05,0.1625,0.025,0.15,0.075,0,0.0625,0.3,0.0125,0.725,5.325,1.125,2.6625,0.025,0.0375,0.0375,0.675,0.025,0.025,1.075
194.26,765.59,47.75,172.78,303.46,73.862,42.038,15.55,0,100.17,1.6125,0.5375,2.125,3.6875,0.45,0.25,1.6625,29.1,0.575,0.275,2.325,10.637,0.2625,10.762,24.387,17.3,6.2625,39.812,0.425,21.812,15.05,27.725,1.575,3.9125,1.25,0.2625,1.2125,23.163,32.85,0.9875,36.425,22.525,0.5875,2.5125,37.7,43.85,29.738,7,0.1,7.6625,0.45,3.1375,0.175,0.0875,0.3625,0.075,0.0625,0.1875,2.5875,0.9375,0.8875,0.5,0.1,0.125,0.3375,0.725,0.1,0.2875,0.0375,0.025,0,0.0875,0.575,0.225,1.2625,2.7875,0.125,0.475,0.9125,2.75,0.75,1.275,0.0375,0,0.075,0.8375
1193,0.5875,0,0.0625,0.025,0.05,0,0,100.17,0,3.475,0.1625,0.6375,0.1,0.1,0,0,212.97,0,0,0,0.0125,0.1,0.025,0.0125,0.025,0.0125,0.05,0,0,0,0.0125,0.0875,0,0,0,0,0.025,0.025,0,0,0.075,0,0,0,0.0375,0.025,0.025,0,0,0.025,0,0,0,0,0.1375,0.875,2.1125,0.5125,0.2625,0.425,0.575,0,1.225,0,0.0125,0.4,0.0125,0,0.0125,0,0.0625,0.225,0.025,0.025,0.9125,0,0,0.025,1.225,0.075,0.075,0,0,0.0125,0.0375
0.1875,6.35,0.8125,1.225,0.25,1.2,0,0.1375,1.6125,3.475,0,515.15,143.66,68.088,124.4,0.85,3.5375,562.58,0.6125,1.0625,2.4125,0.5125,0.025,0.575,2.85,3.175,1.825,1.0375,0.1625,0.2875,0.175,2.875,0.15,1.0375,1.325,0.275,0.825,0.225,1.85,0.4375,3.9625,7.875,0.525,7.3875,12.275,7.55,5.1125,4.7875,0.0125,0.1125,0.475,0.375,1.625,3.9,10.55,11.275,0.1375,3.9375,48.188,10.9,15.338,28.163,7.1875,5.3875,1.5625,30.762,1.3875,32.075,8.775,26.575,57.737,12.35,144.46,7.1125,114.5,53.788,1.1,50.75,239.71,89.7,26.413,17.375,1.8125,1.5625,2.2625,6.1875
0.05,1.125,11.125,2.0625,1.1625,0.025,0,6.8375,0.5375,0.1625,515.15,0,151.36,96.763,6.4,0.1375,42.675,98.963,0.025,3.1625,9.1875,0,0,0.0375,0.2625,0.1625,1.025,0.1875,3.7375,0.0125,28.95,0.2375,0.1375,1.2,5.05,3.4125,2.0375,0,0.8,1.8375,4.1375,2.375,5,40.587,57.087,0.4,0.125,0.4,3.975,0.0125,0.0125,1.325,0.3625,3.7875,42.763,0.075,0.0125,0.2,2.425,0.675,2.0625,0.225,24.925,0.0625,66.213,2.0375,0.175,9.8375,36.3,68.237,64.763,0.075,19.137,3.3625,53.65,10.312,4.575,188.44,231.53,4.925,4.125,6.475,30.712,0.05,1.35,3.5375
0.075,1.45,1.8125,2.125,2.6375,0.35,0.1875,1.6,2.125,0.6375,143.66,151.36,0,294.31,36.188,84.125,85.375,217,0.8875,0.5125,2.8125,0.8875,0.0375,1,6.75,5.825,2.6125,3.0375,0.5,0.4875,1.5875,5.6375,0.1625,1.55,0.6625,0.5875,0.8625,0.6125,4.25,0.5875,6.375,13.675,0.9375,6.125,8.4875,14.1,5.0125,5.6375,0.1,0.15,0.2625,0.625,5.9875,5.2,10.588,22.875,0.6,38.362,172.88,52.062,16.062,140.56,175.81,116.54,39.225,137.78,3.4,17.863,47.987,85.838,144.69,53.487,207.94,7.25,180.4,65.513,4.5,170.49,267.94,166.88,133.56,102.11,30.95,22.9,20.475,722.56
0.0125,0.5,0.6375,1.575,12.725,0.25,0.2125,1.1375,3.6875,0.1,68.088,96.763,294.31,0,2.0125,11.675,4.9875,425.25,0.1875,0.025,0.35,0.0875,0,0.275,0.35,0.7125,0.275,0.3125,0,0.1,0.325,0.4875,0.0125,0.7125,0.0625,0.0125,0.075,0.0875,0.6875,0.125,1.3125,1.3125,0.025,0.2375,0.8375,1.6125,0.875,0.875,0,0.0375,0.0125,0.0875,0.4875,0.35,1.05,2.5,0.0625,1.45,12.738,5.9625,3.1625,4.625,3.7375,1.2,0.35,6.675,0.35,6.125,0.9375,5.3625,3.725,1.85,75.938,0.95,50.75,10.287,0.025,5.5625,32.875,27.375,3.1625,4.8,0.575,1.2375,0.5875,5.7125
0.05,0.525,0.025,0.325,0.4375,1.4875,0,0.025,0.45,0.1,124.4,6.4,36.188,2.0125,0,60.038,0.875,54.85,0.1875,0,0.025,0.4125,0,0.5375,0.9625,0.75,1.5875,1.0125,0,0.5125,0.05,0.6125,0.075,0.05,0,0.025,0.0125,0.5875,0.3375,0.025,0.1,2.0625,0.0125,0.0375,0.025,2.8625,0.7,0.9,0.0125,0.0125,0.025,0.025,0.35,1.2,0.375,10.238,125.46,155.43,20.65,83.975,48.5,24.3,1.45,59.688,2.2,31.312,196.66,0.225,0.05,0.025,0.025,18.375,0.2125,1.1625,0.0625,41,1.0125,0.975,3.7125,23.113,11.225,2.675,0.275,18.663,0.0625,12.675
0,0,0,0.075,0.5,0.075,0,0.0125,0.25,0,0.85,0.1375,84.125,11.675,60.038,0,0.9125,53.087,0,0,0,0,0.0125,0,0.0375,0.0125,0,0.0125,0,0,0,0.0125,0,0,0,0,0,0,0.025,0.0125,0.0125,0.05,0,0.0125,0,0.025,0,0.0125,0,0,0.0125,0,0.0125,0.0125,0.0125,0.1875,44.913,17.45,0.4375,15.475,0.25,0.4,3.75,1,0.05,4.6875,2.6125,0,0,0,0,0.5125,0,0,0.025,0.55,0.0125,0.0125,0.0625,0.625,3.2125,0.0125,0,56.65,0,29.4
0,0.1,5.75,0.85,1.8625,0.075,0.025,12.025,1.6625,0,3.5375,42.675,85.375,4.9875,0.875,0.9125,0,22.05,0,0.7875,0.025,0.025,0,0.0125,0,0.1125,0.175,0.05,1.2125,0.025,8.6625,0.0625,0,0.075,0,0.0125,0.0125,0.025,0.075,0.325,0.1875,0.525,3.8625,0.325,1.6125,0.075,0.0125,0.025,0.225,0.0375,0,0.4875,0.0125,6.6125,0,0.0625,0.0125,0.05,0.075,0.1125,0.625,0.075,20.725,0.125,59.95,0.1375,0,0.2875,0.0125,0.3,0,0.0375,0.0375,1.5625,0.425,1.3625,55.1,0.75,2.525,0.0125,0.1375,0.025,1.275,0.0375,0,14.912
89.625,1.8375,0.225,0.675,1.825,0.25,0.1,0.4875,29.1,212.97,562.58,98.963,217,425.25,54.85,53.087,22.05,0,0.4875,0.0625,0.825,0.3625,0.025,0.4375,2.25,2.6,1.15,1.1,0.075,0.125,0.4375,2.4375,0.0625,0.375,0.125,0.075,0.0875,0.3375,1.275,0.225,1.425,6.125,0.0375,0.7875,2.3,5.25,3.7125,2.6875,0.0125,0.0125,0.15,0.2625,0.9375,0.525,3.2,13.412,0.1,6.7,44.288,10.875,10.725,49,6.65,17.913,2.775,27.8,1.4375,12.662,1.3375,0.7875,2.6375,22.65,67.325,2.2125,57.05,37.462,0.2875,4.6875,68.688,65.775,15.1,7.3375,0.35,1.725,1.4125,23.137
0,2.4875,0.5625,6.025,0.2125,0.25,0,0.0125,0.575,0,0.6125,0.025,0.8875,0.1875,0.1875,0,0,0.4875,0,0.125,3.15,0.8375,0,0.5125,218.62,11.125,3.725,2.125,1.8375,0.3,0.0875,345.18,0.0875,0,6.9,1.775,5.0625,0.425,0.5125,0.325,2.5,5.9625,0.075,9.25,1.5875,3.8125,305.59,99.5,0.1125,0.4625,0.9375,5.075,0.1125,0.0125,0.0375,0,0,0.175,2.1375,0.175,0.4625,0.0375,0,0,0.0125,0.3375,0,0.075,0,0.05,0.0375,0.0125,0.525,0.0625,0.0625,1.0125,0,0.075,0.0875,3.0875,0.8125,1.8625,0,0,0.05,0.175
0,2.7125,3.6625,5.3,0.0375,1.05,0,12.738,0.275,0,1.0625,3.1625,0.5125,0.025,0,0,0.7875,0.0625,0.125,0,0.2375,0.0375,0.15,0.125,0.4875,0.25,20.1,0.0375,2.7,0.1625,10.688,0.425,1.2625,4.625,0.525,0.05,0.2875,0.0125,0.275,151.82,1.6625,68.975,113.41,3,264.51,1.0375,1.375,0.8375,2.0375,0.0375,0.0875,1.0375,0.0125,7.9,4.0875,0,0,0,0.075,0.0125,0.0375,0,0.2125,0,1.6625,0.025,0,0.0375,0.6875,0.2125,0.4875,0,0,0.725,0.9125,0.1375,0.5375,6.4,11.375,0.05,0,0.025,0.475,0,0,0.075
0,15.963,27.025,24.488,0.8875,0.175,0.0375,0.0125,2.325,0,2.4125,9.1875,2.8125,0.35,0.025,0,0.025,0.825,3.15,0.2375,0,0.0875,0.0625,12.887,123.59,50.962,0.2875,10.162,0.5875,0.075,0.2125,47.95,0.1,0.175,264.59,1.3125,6.6375,0.05,36.1,0.3375,581.94,2.375,0,491.89,502.68,54.425,4.6125,27.725,0.3375,0.975,0,3.6,0.1125,4.0125,100.51,0.025,0,0.0375,1.7375,0.4,0.2875,0.1125,0.1625,0,0.2,0.6875,0.05,1.475,21.863,0.15,1.325,0,1.8625,1.7875,37.913,1.7125,0.2,30.688,157.75,1.4125,0.6375,1.4375,0.1375,0,0.075,0.375
0.125,16.9,0.075,21.525,3.2125,8.2125,0.15,0.05,10.637,0.0125,0.5125,0,0.8875,0.0875,0.4125,0,0.025,0.3625,0.8375,0.0375,0.0875,0,0.6125,5.9125,1.4,3.075,32.087,73.912,0.3875,86.775,0.8375,4.0625,4.9625,0.025,0.0375,0.05,0.0375,497.43,0.025,0.1375,0.1625,136.51,0.05,0.375,0.625,236.71,15.7,0.3375,0.1125,0.65,0.775,2.7875,0.0125,0,0.0125,9.925,0,1.4125,1.9625,0.675,4.9,6.5625,0,2.0125,0.05,0.7125,0.0625,0.0625,0,0.0125,0,5.9875,0.2375,0.075,0.125,5.7375,0.0375,0,0.0125,7.2125,0.15,0.125,0.0125,0.0125,0.025,0.1125
0.425,0.375,0.0125,0.725,0.05,129.85,36.05,0,0.2625,0.1,0.025,0,0.0375,0,0,0.0125,0,0.025,0,0.15,0.0625,0.6125,0,50.05,0.675,1.525,2.8,1.725,0,2.3125,0.1625,0.1625,85.125,0.0125,0,0,0,0.475,0.0875,0.0875,0.0125,2.1875,0.1625,0.175,0.925,1.125,1.2875,0.1,0.025,44,0.0375,20.825,0,0,0.0125,0,0,0.0375,0.0875,0,0.1125,0.0125,0,0.0125,0.0125,0.0125,0,0.0125,0,0,0,0.0375,0,0,0.025,0.125,0,0,0,0.0625,0.025,0.025,0,0,0,0
10.925,10.05,0.425,33.062,3.25,175.47,22.325,0.05,10.762,0.025,0.575,0.0375,1,0.275,0.5375,0,0.0125,0.4375,0.5125,0.125,12.887,5.9125,50.05,0,131.32,542.89,17.375,561.44,1.6125,407.39,3.35,24.762,154.06,0.1125,1.0625,0.3125,1.2625,23.137,3.65,0.1875,2.475,22.938,0.1375,11.963,4.625,93.812,15.012,2.95,0.2375,47.85,0.425,13.875,0.0875,0.0125,0.1625,1.6,0.0125,1.45,3.625,2.0625,2.825,3.8,0.025,1.1375,0.0375,1.775,0.125,0.425,0.025,0.025,0.0125,1.6,1.5875,0.1125,0.3375,7.2375,0.025,0.25,0.65,6.925,1.2875,2.1375,0.025,0.0125,0.15,0.35
0.2,57.938,2.2,191.81,10.25,11.65,0.0875,0.0125,24.387,0.0125,2.85,0.2625,6.75,0.35,0.9625,0.0375,0,2.25,218.62,0.4875,123.59,1.4,0.675,131.32,0,242.95,23.525,355.6,1.775,2.9375,1.4125,442.85,3.7375,0.6,15.887,1.775,4.025,3.125,32.9,1.175,56.337,39.638,0.1625,57.175,44.587,803.89,141.21,454.98,0.7,4.7,6.9875,32.5,0.5375,0.0875,1.2,2.45,0.0375,3.275,22.087,6.8,7.3125,6.0875,0.05,1.3375,0.0625,6.5375,0.3875,0.6625,0.3625,0.0125,0.0875,3.375,2.1625,0.4125,2.4875,17.675,0,0.6875,3.7125,25.75,3.9875,9.3,0.05,0.0625,0.1,1.325
0.9625,15.037,1.7,42.337,6.325,60,6.8,0.2125,17.3,0.025,3.175,0.1625,5.825,0.7125,0.75,0.0125,0.1125,2.6,11.125,0.25,50.962,3.075,1.525,542.89,242.95,0,28.762,229.26,4.8,31.363,3.475,618.56,5.2125,0.0875,16.325,4.6,11.4,13.25,9.4375,1.025,14.537,55.513,0.175,62.013,6.275,56.888,21.775,34.125,0.45,57.462,0.3625,20.012,0.6875,0.0625,0.325,0.5,0,1.3,14.475,5.925,5.7625,1.9625,0.0625,0.3125,0.075,4.725,0.1625,0.525,0.125,0.0375,0.025,0.7625,1.9,0.2125,0.45,10.512,0,0.2625,0.875,16.875,3.75,5.5375,0.0125,0.025,0.1,1.2
