Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Left-VentralDC,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
0.0125,0.35,0,0.175,0.0375,1.5375,0,0,0.075,0.1375,11.275,0.075,22.875,2.5,10.238,0.1875,0.0625,13.412,0,0,0.025,9.925,0,1.6,2.45,0.5,4.05,8.125,0,1.5375,0.025,0.2875,0.05,0.0125,0,0.0125,0,3.5,0.1,0.0125,0.025,5.875,0.0125,0,0.0875,5.775,0.1125,0.0375,0,0,0.025,0.0125,0.5375,0.025,0.125,0,0.2,7.6125,0.8875,2.925,22.55,94.45,0.6125,87,0.1375,6.325,3.6875,0.15,0.05,0.15,0,567.04,0.025,0.0375,0.0625,183.51,0,0.3625,0.7125,245.59,15.363,0.2125,0.125,0.35,0.575,4.825
0.475,0.0125,0,0.0125,0,0.025,0,0,0.0625,0.875,0.1375,0.0125,0.6,0.0625,125.46,44.913,0.0125,0.1,0,0,0,0,0,0.0125,0.0375,0,0.0375,0.025,0.0125,0,0,0,0,0,0,0,0,0.0375,0.025,0,0.0125,0,0,0,0,0.1,0,0.0125,0,0,0,0,0.0125,0.1375,0,0.2,0,41.938,1.05,2.9,2.3,0.7125,0.0125,1.075,0.05,0.1625,74.463,0.0125,0,0,0.05,0.225,0,0.2625,0.025,2.1375,0.0375,0.0375,0.6625,0.7375,0.2,0.0125,0,28.613,0,12.95
0,0.5,0,0.3375,0.15,0.525,0.0125,0.0125,0.1875,2.1125,3.9375,0.2,38.362,1.45,155.43,17.45,0.05,6.7,0.175,0,0.0375,1.4125,0.0375,1.45,3.275,1.3,1.8625,5.0375,0,0.65,0.025,0.975,0.1125,0.025,0.0125,0.0125,0.025,1.5875,0.325,0.025,0.1125,5.95,0,0.1,0.3125,5.0875,0.575,0.85,0.0125,0,0.1,0.0625,0.4375,0.15,6.675,7.6125,41.938,0,154.49,406.59,15.975,553.14,1.35,334.34,0.6125,25.413,133.78,0.325,0.4,0.375,0.2125,19.038,1.3,0.35,1.125,19.575,0.1875,5.1625,5.2125,116.86,10,0.85,0.6625,14.713,0.125,13.125
0.0375,6.1125,0.2625,6.4625,1.2375,1.2875,0,0.025,2.5875,0.5125,48.188,2.425,172.88,12.738,20.65,0.4375,0.075,44.288,2.1375,0.075,1.7375,1.9625,0.0875,3.625,22.087,14.475,5.9625,7.375,0.05,0.85,0.15,9.0875,0.45,0.25,0.4625,0.0375,0.0625,2.375,2.55,0.25,2.3,28.887,0.0625,1.0375,3.15,47.85,9.5875,12.137,0,0.25,0.375,0.9125,215.16,0.2125,132.22,0.8875,1.05,154.49,0,255.5,28.387,302.36,5.2375,2.225,0.975,514.05,3.2875,2.15,30.85,10.238,24.587,2.0625,39.7,0.9375,52.612,42.888,0.075,118.92,52.138,844.04,200.06,464.93,0.85,2.5625,3.6375,65.575
0,2.9875,0.1375,2.5,0.5625,0.2,0.025,0.0125,0.9375,0.2625,10.9,0.675,52.062,5.9625,83.975,15.475,0.1125,10.875,0.175,0.0125,0.4,0.675,0,2.0625,6.8,5.925,2.0375,2.9625,0.075,0.2125,0,2.3875,0.175,0.2125,0.1375,0,0.0125,1.0625,1.7625,0.225,0.4375,10.562,0,0.4125,1.075,12.613,1.825,3.0125,0,0.0875,0.25,0.225,7.3125,0.1125,20.7,2.925,2.9,406.59,255.5,0,20.725,170.1,4.5125,29.575,0.275,494.73,8.275,0.3625,2.6875,2.3,2.2,10.5,5.7625,0.3625,4.0625,42.888,0.0625,24.212,6.2,44.975,11.8,15.037,0.475,36.087,0.1375,19.738
0.025,2.9375,0.675,2.5625,0.65,1.3625,0.025,0.25,0.8875,0.425,15.338,2.0625,16.062,3.1625,48.5,0.25,0.625,10.725,0.4625,0.0375,0.2875,4.9,0.1125,2.825,7.3125,5.7625,33.263,9.4625,0.2625,2.65,0.3125,2.65,0.325,0.575,0,0.125,0.0125,4.3625,3.3875,1.3375,0.8375,13.15,0.0375,0.3875,0.65,19.012,3.2875,5.85,0.0875,0.125,0.225,0.2625,4.1875,28.425,0.05,22.55,2.3,15.975,28.387,20.725,0,24.837,0.5,60.675,2.0625,27.175,59.987,2.25,0.1875,0.15,0.25,16.45,1.7125,135.76,0.425,478.61,8.7875,1.7875,35,47.388,36.575,31.688,0.775,0.4125,2.525,3.4375
0.05,0.8625,0.0625,1.0375,0.1,1.225,0.0125,0.0125,0.5,0.575,28.163,0.225,140.56,4.625,24.3,0.4,0.075,49,0.0375,0,0.1125,6.5625,0.0125,3.8,6.0875,1.9625,5.3875,16.238,0,1.8625,0.0125,0.8,0.2125,0.05,0.025,0.025,0,7.3625,0.1875,0.025,0.175,6.825,0.0125,0.1,0.2125,10.213,0.35,0.425,0,0.0625,0.05,0.075,1.7125,0.075,6.675,94.45,0.7125,553.14,302.36,170.1,24.837,0,4.775,218.36,0.6125,89.025,6.625,0.4625,0.35,1.775,0.6,310.49,1.0125,0.0625,1.6875,35.775,0.0375,6.0875,6.7125,269.57,94.55,1.0375,0.6875,1.8375,0.4875,46.9
0,0.1,2.2,0.1,0.2875,0.025,0,1.3625,0.1,0,7.1875,24.925,175.81,3.7375,1.45,3.75,20.725,6.65,0,0.2125,0.1625,0,0,0.025,0.05,0.0625,0.1375,0.0375,1.0625,0.025,7.4375,0.0375,0,0.1,0.0375,0.5375,0.075,0,0.2875,0.4625,0.2,0.625,1.275,1.4,2.1875,0.3375,0.0375,0.0875,1.075,0,0,0.2125,2.05,0.7375,0.2875,0.6125,0.0125,1.35,5.2375,4.5125,0.5,4.775,0,6.3,106.2,25.288,0.075,0.3625,15.488,149.5,71.487,2.05,2.225,0.6,2.9,1.675,4.8,77.45,5.6375,2.575,24.712,13.25,19.887,1.525,1.0625,223.4
0,0.3125,0.0125,0.1,0.1125,1.2375,0,0.05,0.125,1.225,5.3875,0.0625,116.54,1.2,59.688,1,0.125,17.913,0,0,0,2.0125,0.0125,1.1375,1.3375,0.3125,1.9375,2.925,0,4.125,0.0625,0.0875,0.05,0.0125,0,0.025,0,1.7875,0.0375,0,0,2.35,0,0.05,0.0625,2.6875,0.0125,0.075,0,0.0125,0,0,0.2625,0.2375,0.05,87,1.075,334.34,2.225,29.575,60.675,218.36,6.3,0,0.6125,40.663,90.138,0,0.1,2.0375,0.5875,453.36,0,0.375,0.025,112.14,0.15,3.8625,2.4125,57.6,30.45,0.175,1.4625,4.15,0.075,26.312
0,0.1625,27.038,1.1875,0.1375,0.1125,0,7.875,0.3375,0,1.5625,66.213,39.225,0.35,2.2,0.05,59.95,2.775,0.0125,1.6625,0.2,0.05,0.0125,0.0375,0.0625,0.075,0.325,0.025,16.15,0.025,88.2,0.0625,0.0375,0.1625,0.075,7.475,0.55,0,0.3625,1.275,0.2625,1.6625,13.338,28.913,16.712,1.5125,0.1375,0.25,15.037,0,0,0.6875,0.0375,6.975,0.1,0.1375,0.05,0.6125,0.975,0.275,2.0625,0.6125,106.2,0.6125,0,2.5,0.2375,2.35,0.175,1.425,0.1375,0.1125,0.6375,4.4625,0.5,10.988,146.19,4.125,214.29,1.5875,1.675,0.3125,49.2,0.3125,0.0125,20.238
0,3.85,0.2,3,0.45,0.175,0.025,0,0.725,0.0125,30.762,2.0375,137.78,6.675,31.312,4.6875,0.1375,27.8,0.3375,0.025,0.6875,0.7125,0.0125,1.775,6.5375,4.725,1.7875,1.6375,0.0625,0.2,0.1125,2.5375,0.05,0.5375,0.1625,0.025,0.05,0.6,8.125,0.4125,0.7875,5.1375,0.0125,0.675,0.95,16.312,3.4125,8.9,0,0.0625,0.3,0.275,303.21,0.3,18.75,6.325,0.1625,25.413,514.05,494.73,27.175,89.025,25.288,40.663,2.5,0,2.275,2.0125,7.4375,13,18.5,22.887,5.475,5.2,6.225,46.825,0.075,47.562,14,33.7,368.5,101.04,1.475,38.487,0.575,52.962
0.175,0.05,0.0125,0.0125,0.025,0.125,0,0.05,0.1,0.4,1.3875,0.175,3.4,0.35,196.66,2.6125,0,1.4375,0,0,0.05,0.0625,0,0.125,0.3875,0.1625,0.175,0.275,0.0375,0.025,0.0125,0.075,0.0125,0.05,0,0.0125,0,0.1,0.2625,0.0125,0.2,0.175,0,0.05,0.0375,0.5375,0.025,0.15,0.0125,0,0,0.0125,0.225,1.6125,0.025,3.6875,74.463,133.78,3.2875,8.275,59.987,6.625,0.075,90.138,0.2375,2.275,0,0.1875,0.025,0.0125,0.0375,6.0375,0.025,2.2625,0.0625,31.5,0.5125,0.4875,4.125,6.2,1.8375,0.5125,0.1875,4.5,0.1875,2.2625
0,3.1625,2.4625,2.8375,0.65,0.0375,0,0.1625,0.2875,0.0125,32.075,9.8375,17.863,6.125,0.225,0,0.2875,12.662,0.075,0.0375,1.475,0.0625,0.0125,0.425,0.6625,0.525,0.875,0.1625,0.8,0.0125,0.425,0.45,0.125,22.512,0.275,0.3875,0.5,0.025,50.212,4.375,83.062,4.1125,0.0125,1.1,6.05,6.2875,1.975,10.4,0.0875,0,0.4,1.1375,0.325,12.912,0.525,0.15,0.0125,0.325,2.15,0.3625,2.25,0.4625,0.3625,0,2.35,2.0125,0.1875,0,0.7625,0.1625,0.6375,0.0125,155.45,269.59,187.97,263.57,2.4375,2.2125,309.86,40.3,7.5875,13.175,0.9375,0,2.65,3.0375
0,1.1,1.4375,1.45,0.0375,0.0125,0,0.025,0.0375,0,8.775,36.3,47.987,0.9375,0.05,0,0.0125,1.3375,0,0.6875,21.863,0,0,0.025,0.3625,0.125,0.025,0.025,0.025,0,0.05,0.05,0.025,0.2,6.85,0.1,0.5875,0,1.0125,0.1125,4.2125,0.1875,0.175,20.413,25.625,0.5375,0.125,0.3625,0.0625,0,0.0125,0.225,1.175,0.9375,208.97,0.05,0,0.4,30.85,2.6875,0.1875,0.35,15.488,0.1,0.175,7.4375,0.025,0.7625,0,20.462,204.45,0.05,23.637,0.65,295.04,1.95,0.075,163.61,112.58,13.012,6.425,45.2,0.2625,0.05,0.225,116.34
0,0.175,1.25,0.55,0,0,0,0.15,0.025,0.0125,26.575,68.237,85.838,5.3625,0.025,0,0.3,0.7875,0.05,0.2125,0.15,0.0125,0,0.025,0.0125,0.0375,0.0375,0.0125,1.1,0.025,1.675,0.0625,0,0.1375,0.3,3.8375,1.2375,0.0125,0.1625,0.05,0.0375,0.25,0.7625,11.675,8.6625,0.025,0.05,0.075,0.825,0,0,0.1,2.3125,0.05,1.025,0.15,0,0.375,10.238,2.3,0.15,1.775,149.5,2.0375,1.425,13,0.0125,0.1625,20.462,0,110.97,0.625,2.825,0.125,3.5625,0.525,0.1,82.338,4.525,2.275,13.613,13.762,2.325,0.025,0.7625,31.575
0,0.7625,1.05,1.0875,0.05,0,0,0.075,0,0,57.737,64.763,144.69,3.725,0.025,0,0,2.6375,0.0375,0.4875,1.325,0,0,0.0125,0.0875,0.025,0.1125,0.0125,0.0875,0,0.3375,0.05,0.0125,0.1625,1.5875,0.625,1.75,0,0.5,0.05,0.225,0.1375,0.5625,22.538,15.625,0.3,0.075,0.1125,0.075,0,0.0125,0.225,3.7375,0.625,7.675,0,0.05,0.2125,24.587,2.2,0.25,0.6,71.487,0.5875,0.1375,18.5,0.0375,0.6375,204.45,110.97,0,0.35,6.2,0.4375,12.688,1.2875,0.3125,227.12,34.125,5.6125,22.688,33.112,0.3625,0.1,1.3125,161.19
0,0.375,0,0.25,0.0625,1.0375,0,0,0.0875,0.0625,12.35,0.075,53.487,1.85,18.375,0.5125,0.0375,22.65,0.0125,0,0,5.9875,0.0375,1.6,3.375,0.7625,4,11.225,0,1.7625,0.0375,0.35,0.1125,0.0125,0,0.0125,0,3.6875,0.025,0.025,0,6.2,0,0,0.075,7.625,0.075,0.0625,0,0.0125,0,0.025,0.4375,0.0125,0.05,567.04,0.225,19.038,2.0625,10.5,16.45,310.49,2.05,453.36,0.1125,22.887,6.0375,0.0125,0.05,0.625,0.35,0,0.0125,0.0125,0.0375,72.188,0.0125,0.8875,0.65,97.987,31.875,0.1625,0.1125,1.025,0.3125,12.25
0.025,4.0375,2.75,3.7375,0.675,0.1875,0,0.0625,0.575,0.225,144.46,19.137,207.94,75.938,0.2125,0,0.0375,67.325,0.525,0,1.8625,0.2375,0,1.5875,2.1625,1.9,3.9625,0.6375,0.7875,0.05,0.2375,3.1,0.4,31.488,0.5125,0.4125,0.425,0.05,144.84,7.0375,30.575,21.1,0.0375,0.925,1.4125,34.788,14.925,53.538,0,0.0375,4.075,2.05,0.6875,0.275,25.262,0.025,0,1.3,39.7,5.7625,1.7125,1.0125,2.225,0,0.6375,5.475,0.025,155.45,23.637,2.825,6.2,0.0125,0,15.325,1015.7,23.825,0.0375,7.7375,25.225,345.25,16.375,515.3,0.1375,0.0375,3.95,155.86
0,1.575,1.7875,1.3,0.2,0.05,0,0.3,0.225,0.025,7.1125,3.3625,7.25,0.95,1.1625,0,1.5625,2.2125,0.0625,0.725,1.7875,0.075,0,0.1125,0.4125,0.2125,3.1375,0.175,0.4,0,0.65,0.325,0.0875,9.7375,0.1,0.1125,0.175,0,10.162,24.4,18.562,3.725,0.1375,0.775,8.05,3.7125,2.275,6.025,0.1125,0,0.575,0.75,0.825,183.11,0.2,0.0375,0.2625,0.35,0.9375,0.3625,135.76,0.0625,0.6,0.375,4.4625,5.2,2.2625,269.59,0.65,0.125,0.4375,0.0125,15.325,0,13.3,245.79,17.113,1.95,185.84,5.8625,18.587,26.788,1.6125,0.0375,4.0375,3.0125
0.0125,6.7125,5.4375,11.2,0.8,0.1,0,0.0125,1.2625,0.025,114.5,53.65,180.4,50.75,0.0625,0.025,0.425,57.05,0.0625,0.9125,37.913,0.125,0.025,0.3375,2.4875,0.45,1.125,0.25,1.2125,0.05,0.375,0.3875,0.325,65.938,4.025,0.35,0.7375,0.0875,54.538,16.238,316.41,9.475,0.125,3.2125,115.56,4.6125,1.125,6.7625,0.05,0,0.4625,3.1875,0.6625,1.275,504.73,0.0625,0.025,1.125,52.612,4.0625,0.425,1.6875,2.9,0.025,0.5,6.225,0.0625,187.97,295.04,3.5625,12.688,0.0375,1015.7,13.3,0,5.0625,0.1375,63.062,453.16,94.575,8.2625,94.487,0.2875,0.0375,0.8625,118.51
0.125,9.8625,1.775,7.675,1.825,3.4625,0.0375,0.725,2.7875,0.9125,53.788,10.312,65.513,10.287,41,0.55,1.3625,37.462,1.0125,0.1375,1.7125,5.7375,0.125,7.2375,17.675,10.512,14.725,13.287,0.5125,2.1125,1.1625,5.0625,0.325,1.35,0.1,0.325,0.15,7.075,14.65,1.4,4.925,39.45,0.075,2.15,2.65,59.65,7.525,16.9,0.225,0.3125,0.8875,0.9,6.5375,90.138,2.325,183.51,2.1375,19.575,42.888,42.888,478.61,35.775,1.675,112.14,10.988,46.825,31.5,263.57,1.95,0.525,1.2875,72.188,23.825,245.79,5.0625,0,20.375,9.5875,214.11,612.26,94.088,55.862,3.825,0.8375,13.9,15.65
0,0.6125,4.625,0.9125,0.0125,0.0375,0,5.325,0.125,0,1.1,4.575,4.5,0.025,1.0125,0.0125,55.1,0.2875,0,0.5375,0.2,0.0375,0,0.025,0,0,0.075,0.0125,2.1375,0.0375,10.412,0.0375,0,0.025,0.15,0.75,0.8375,0.0125,0.025,0.125,0.2375,0.1875,12.55,8.75,7.975,0.0125,0.0125,0,1.4625,0,0,0.125,0.0125,127.29,0.025,0,0.0375,0.1875,0.075,0.0625,8.7875,0.0375,4.8,0.15,146.19,0.075,0.5125,2.4375,0.075,0.1,0.3125,0.0125,0.0375,17.113,0.1375,20.375,0,1.425,205.99,0.425,0.325,0.1125,1.275,0.0125,0.025,5.6
0,7.425,14.3,11.363,0.2625,0.0625,0,1.125,0.475,0,50.75,188.44,170.49,5.5625,0.975,0.0125,0.75,4.6875,0.075,6.4,30.688,0,0,0.25,0.6875,0.2625,0.25,0.175,3.1,0.15,12.725,0.9375,0.0875,0.5,23.337,15.387,15.725,0.0125,0.5875,0.9875,3.6875,1.95,10.775,247.14,192.74,0.975,0.425,0.75,5.5,0.0375,0.0375,1.9375,5.7,5.15,439.25,0.3625,0.0375,5.1625,118.92,24.212,1.7875,6.0875,77.45,3.8625,4.125,47.562,0.4875,2.2125,163.61,82.338,227.12,0.8875,7.7375,1.95,63.062,9.5875,1.425,0,526.01,19.738,11.35,18.762,43.5,0.35,0.3375,16.25
0,12.787,25.5,13.688,0.5375,0.1125,0,2.6625,0.9125,0.025,239.71,231.53,267.94,32.875,3.7125,0.0625,2.525,68.688,0.0875,11.375,157.75,0.0125,0,0.65,3.7125,0.875,0.4875,0.525,5.7125,0.05,11.312,0.6625,0.175,4.1375,27.425,15.512,14.375,0.05,1.975,5.9875,141.34,3.65,10.012,235.97,365.41,2.2375,0.3625,0.4625,7.7625,0.0375,0.0125,1.875,2.7125,357.99,483.59,0.7125,0.6625,5.2125,52.138,6.2,35,6.7125,5.6375,2.4125,214.29,14,4.125,309.86,112.58,4.525,34.125,0.65,25.225,185.84,453.16,214.11,205.99,526.01,0,82.612,10.512,6.95,41.812,0.1875,0.975,25.325
0.125,9.6875,0.8,7.9625,1.7625,3.6125,0.0375,0.025,2.75,1.225,89.7,4.925,166.88,27.375,23.113,0.625,0.0125,65.775,3.0875,0.05,1.4125,7.2125,0.0625,6.925,25.75,16.875,16.325,17.375,0.2125,2.2875,0.2125,13.988,0.9625,1.1375,0.25,0.0875,0.075,7.125,13,1.175,3.075,47.275,0.0125,0.5375,1.45,90.838,25.45,39.7,0.0375,0.325,2.5625,1.7625,3.075,1.4125,55.862,245.59,0.7375,116.86,844.04,44.975,47.388,269.57,2.575,57.6,1.5875,33.7,6.2,40.3,13.012,2.275,5.6125,97.987,345.25,5.8625,94.575,612.26,0.425,19.738,82.612,0,71.388,339.11,0.8875,1.2625,7.2,38.425
0,4.0125,0.7375,3.35,0.7625,0.45,0,0.0375,0.75,0.075,26.413,4.125,133.56,3.1625,11.225,3.2125,0.1375,15.1,0.8125,0,0.6375,0.15,0.025,1.2875,3.9875,3.75,3.375,0.9375,0.075,0.025,0.1,3.1625,0.2125,0.7375,0.1,0,0.125,0.1375,14.875,0.6,1.4875,8.6375,0.025,0.4375,0.3875,31.062,9.0875,22.488,0.0125,0.0875,1.0375,0.5,216.01,0.7375,2.475,15.363,0.2,10,200.06,11.8,36.575,94.55,24.712,30.45,1.675,368.5,1.8375,7.5875,6.425,13.613,22.688,31.875,16.375,18.587,8.2625,94.088,0.325,11.35,10.512,71.388,0,316,0.475,55.312,303.43,281.69
0.0125,8.0375,1.4875,5.025,1.575,0.375,0.0125,0.0375,1.275,0.075,17.375,6.475,102.11,4.8,2.675,0.0125,0.025,7.3375,1.8625,0.025,1.4375,0.125,0.025,2.1375,9.3,5.5375,4.875,0.925,0.2875,0.0375,0.0125,6.6875,0.25,9.575,0.25,0.1375,0.2375,0.025,71.188,4.625,5.2875,25.062,0.025,0.55,0.65,65.575,23.137,64.963,0,0.1125,4.3125,1.975,92.425,0.425,14.488,0.2125,0.0125,0.85,464.93,15.037,31.688,1.0375,13.25,0.175,0.3125,101.04,0.5125,13.175,45.2,13.762,33.112,0.1625,515.3,26.788,94.487,55.862,0.1125,18.762,6.95,339.11,316,0,0.275,0.4,38.675,184.36
0,0.1125,2.3875,0.3625,0,0,0,0.675,0.0375,0,1.8125,30.712,30.95,0.575,0.275,0,1.275,0.35,0,0.475,0.1375,0.0125,0,0.025,0.05,0.0125,0.1875,0,1.9375,0.05,12,0.075,0.025,0.05,0.1,3.225,0.7375,0.0125,0.05,0.3,0.0625,0.3,1.65,13.325,12.262,0.0625,0.0375,0.0125,3.8125,0,0,0.125,0.0875,1.825,0.3625,0.125,0,0.6625,0.85,0.475,0.775,0.6875,19.887,1.4625,49.2,1.475,0.1875,0.9375,0.2625,2.325,0.3625,0.1125,0.1375,1.6125,0.2875,3.825,1.275,43.5,41.812,0.8875,0.475,0.275,0,0.1625,0.0125,2.2375
0,0.0125,0,0.075,0.0125,0,0,0.025,0,0,1.5625,0.05,22.9,1.2375,18.663,56.65,0.0375,1.725,0,0,0,0.0125,0,0.0125,0.0625,0.025,0.05,0.075,0,0,0.0125,0.025,0,0,0,0,0,0.05,0.0125,0,0,0.1125,0,0,0.025,0.15,0.0375,0.0875,0,0,0,0,0.45,0.0625,0.225,0.35,28.613,14.713,2.5625,36.087,0.4125,1.8375,1.525,4.15,0.3125,38.487,4.5,0,0.05,0.025,0.1,1.025,0.0375,0.0375,0.0375,0.8375,0.0125,0.35,0.1875,1.2625,55.312,0.4,0.1625,0,0,115.7
0,0.3,0.0625,0.1875,0.05,0.0125,0,0.025,0.075,0.0125,2.2625,1.35,20.475,0.5875,0.0625,0,0,1.4125,0.05,0,0.075,0.025,0,0.15,0.1,0.1,0.2875,0.0375,0,0.0125,0.0125,0.1625,0.0125,0.2125,0,0,0,0.0375,2.8,0.15,0.5125,1.0375,0,0.0125,0.0125,2.675,0.9,2.825,0,0,0.1375,0.075,0.6125,0.1,0.05,0.575,0,0.125,3.6375,0.1375,2.525,0.4875,1.0625,0.075,0.0125,0.575,0.1875,2.65,0.225,0.7625,1.3125,0.3125,3.95,4.0375,0.8625,13.9,0.025,0.3375,0.975,7.2,303.43,38.675,0.0125,0,0,79.55
0,0.6625,0.9375,0.5125,0.7,0.225,0.0125,1.075,0.8375,0.0375,6.1875,3.5375,722.56,5.7125,12.675,29.4,14.912,23.137,0.175,0.075,0.375,0.1125,0,0.35,1.325,1.2,0.7125,0.7875,0.15,0.075,1.025,0.8875,0.0125,0.275,0.1375,0.1,0.05,0.125,2.7875,0.1,1.175,2.35,0.7375,0.6875,1.1375,3.025,1.275,2.2125,0.025,0.0125,0.1375,0.125,5.25,0.475,1.1125,4.825,12.95,13.125,65.575,19.738,3.4375,46.9,223.4,26.312,20.238,52.962,2.2625,3.0375,116.34,31.575,161.19,12.25,155.86,3.0125,118.51,15.65,5.6,16.25,25.325,38.425,281.69,184.36,2.2375,115.7,79.55,0
